T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
⭕,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-34B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-34B-Chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",55.3,65.1,84.08,74.87,55.41,79.79,19.79,8.03,instruction-tuned,LlamaForCausalLM,torch.float16,other,34.39,18.0,True,a99ec35331cbfc9da596af7d4538fe2efecff03c,01-ai/Yi-34B-Chat
🔶,"<a target=""_blank"" href=""https://huggingface.co/TheBloke/WizardLM-70B-V1.0-GPTQ"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheBloke/WizardLM-70B-V1.0-GPTQ</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheBloke__WizardLM-70B-V1.0-GPTQ"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",55.28,63.82,83.85,63.68,54.54,78.61,18.5,23.97,fine-tuned,LlamaForCausalLM,GPTQ,llama2,72.82,26.0,True,c234d7c9c0fd26efb55757fdbfb604d549539fe0,TheBloke/WizardLM-70B-V1.0-GPTQ
?,"<a target=""_blank"" href=""https://huggingface.co/adonlee/LLaMA_2_13B_SFT_v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">adonlee/LLaMA_2_13B_SFT_v1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_adonlee__LLaMA_2_13B_SFT_v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",55.24,64.51,83.38,58.6,53.2,78.53,40.03,8.46,,LlamaForCausalLM,torch.float16,?,0.0,0.0,True,31421b19a3f5fe2eff4871c86d3a94d5723b6fd2,adonlee/LLaMA_2_13B_SFT_v1
🔶,"<a target=""_blank"" href=""https://huggingface.co/openaccess-ai-collective/manticore-30b-chat-pyg-alpha"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openaccess-ai-collective/manticore-30b-chat-pyg-alpha</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_openaccess-ai-collective__manticore-30b-chat-pyg-alpha"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",55.2,64.16,84.38,57.49,51.57,79.48,16.07,33.22,fine-tuned,LlamaForCausalLM,torch.float16,?,32.53,13.0,True,0cff8e9718e57202171003d556d2e6630061879d,openaccess-ai-collective/manticore-30b-chat-pyg-alpha
🔶,"<a target=""_blank"" href=""https://huggingface.co/Undi95/MLewdBoros-L2-13B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Undi95/MLewdBoros-L2-13B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Undi95__MLewdBoros-L2-13B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",55.1,62.54,83.9,56.57,48.14,76.95,10.99,46.59,fine-tuned,LlamaForCausalLM,torch.float16,cc-by-nc-4.0,13.02,11.0,True,a3033ac5825662f1c66418d7543648dc76980185,Undi95/MLewdBoros-L2-13B
?,"<a target=""_blank"" href=""https://huggingface.co/l3utterfly/mistral-7b-v0.1-layla-v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">l3utterfly/mistral-7b-v0.1-layla-v1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_l3utterfly__mistral-7b-v0.1-layla-v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",55.05,60.15,83.25,60.31,48.9,75.93,16.83,40.01,,MistralForCausalLM,torch.float16,apache-2.0,7.0,0.0,True,5f06add6aa1d51d78288dbdcbd1abfd5f0ed0c84,l3utterfly/mistral-7b-v0.1-layla-v1
🔶,"<a target=""_blank"" href=""https://huggingface.co/ajibawa-2023/carl-33b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ajibawa-2023/carl-33b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ajibawa-2023__carl-33b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",55.01,64.59,85.27,58.38,45.32,76.24,6.37,48.92,fine-tuned,LlamaForCausalLM,torch.bfloat16,cc-by-nc-nd-4.0,32.32,8.0,True,5f80b372b493d901cab4490b4f23c71499023615,ajibawa-2023/carl-33b
🔶,"<a target=""_blank"" href=""https://huggingface.co/openbmb/UltraLM-13b-v2.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openbmb/UltraLM-13b-v2.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_openbmb__UltraLM-13b-v2.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",55.0,62.63,81.49,56.17,49.48,76.48,26.08,32.69,fine-tuned,LlamaForCausalLM,torch.float16,mit,12.85,2.0,True,a452045c96ae62379a98ef0d85666616a66e78a6,openbmb/UltraLM-13b-v2.0
🟦,"<a target=""_blank"" href=""https://huggingface.co/meta-llama/Llama-2-70b-chat-hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">meta-llama/Llama-2-70b-chat-hf</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_meta-llama__Llama-2-70b-chat-hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.98,64.59,85.88,63.91,52.8,80.51,26.69,10.5,RL-tuned,?,torch.float16,?,68.98,1453.0,False,7f54101c0fbb67a8143ca23eb8bd09b71f269c74,meta-llama/Llama-2-70b-chat-hf
🔶,"<a target=""_blank"" href=""https://huggingface.co/willyninja30/ARIA-70B-French"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">willyninja30/ARIA-70B-French</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_willyninja30__ARIA-70B-French"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.96,64.51,85.87,63.88,52.8,80.51,26.69,10.5,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,0.0,True,d8580d360c51e71fddd27897445e2aa9d1888585,willyninja30/ARIA-70B-French
🔶,"<a target=""_blank"" href=""https://huggingface.co/abhishek/zephyr-beta-math"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">abhishek/zephyr-beta-math</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_abhishek__zephyr-beta-math"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.89,56.66,81.26,57.24,44.83,75.53,56.41,12.32,fine-tuned,MistralForCausalLM,torch.float16,other,0.0,3.0,True,dd3d070a104d8b36ba98d14a485d88fa95aaab63,abhishek/zephyr-beta-math
🔶,"<a target=""_blank"" href=""https://huggingface.co/TheBloke/alpaca-lora-65B-HF"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheBloke/alpaca-lora-65B-HF</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheBloke__alpaca-lora-65B-HF"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.86,64.85,85.59,63.11,45.15,81.22,28.05,16.08,fine-tuned,LlamaForCausalLM,torch.float16,other,65.02,3.0,True,113b61b37a2862b950ada68620e57acafbcefe13,TheBloke/alpaca-lora-65B-HF
🔶,"<a target=""_blank"" href=""https://huggingface.co/CobraMamba/mamba-gpt-7b-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CobraMamba/mamba-gpt-7b-v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_CobraMamba__mamba-gpt-7b-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.85,61.95,83.83,61.74,46.63,78.45,17.29,34.07,fine-tuned,MistralForCausalLM,torch.float16,apache-2.0,7.0,0.0,True,6439444e2c0b61253d3e61ae04fe0436717acc2f,CobraMamba/mamba-gpt-7b-v2
🔶,"<a target=""_blank"" href=""https://huggingface.co/Sao10K/Stheno-1.2-L2-13B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Sao10K/Stheno-1.2-L2-13B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Sao10K__Stheno-1.2-L2-13B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.8,60.75,83.67,56.27,50.32,74.98,10.92,46.72,fine-tuned,LlamaForCausalLM,torch.float16,llama2,12.85,0.0,True,e76f35fe771ef142d6629092bd4a93301fd6cd4a,Sao10K/Stheno-1.2-L2-13B
🔶,"<a target=""_blank"" href=""https://huggingface.co/migtissera/SynthIA-7B-v1.5"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">migtissera/SynthIA-7B-v1.5</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_migtissera__SynthIA-7B-v1.5"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.8,62.71,83.37,63.48,51.32,79.24,17.44,26.01,fine-tuned,MistralForCausalLM,torch.float16,apache-2.0,7.11,0.0,True,5a9912ef90a0efc1aaea327e5cf3e9554c8bd897,migtissera/SynthIA-7B-v1.5
🔶,"<a target=""_blank"" href=""https://huggingface.co/migtissera/Tess-XS-v1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">migtissera/Tess-XS-v1.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_migtissera__Tess-XS-v1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.77,63.91,84.06,63.07,49.92,79.16,16.22,27.07,fine-tuned,MistralForCausalLM,torch.float16,apache-2.0,7.24,0.0,True,e8850e534a3a9f602f72201b09c7ef8f879c1c0b,migtissera/Tess-XS-v1.1
🔶,"<a target=""_blank"" href=""https://huggingface.co/CobraMamba/mamba-gpt-7b-v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CobraMamba/mamba-gpt-7b-v1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_CobraMamba__mamba-gpt-7b-v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.77,61.26,84.1,63.46,46.34,79.16,17.36,31.67,fine-tuned,MistralForCausalLM,torch.float16,apache-2.0,7.11,0.0,True,e64d658b397748e409d9633fd24fc5a6df429600,CobraMamba/mamba-gpt-7b-v1
🔶,"<a target=""_blank"" href=""https://huggingface.co/TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheBloke__VicUnlocked-alpaca-65B-QLoRA-fp16"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.74,65.61,85.15,63.13,52.47,81.29,27.82,7.71,fine-tuned,LlamaForCausalLM,torch.float16,other,65.02,9.0,True,6cdacfda96970aa144e316b108ab9bc17c99a573,TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16
?,"<a target=""_blank"" href=""https://huggingface.co/lmsys/vicuna-33b-v1.3"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">lmsys/vicuna-33b-v1.3</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_lmsys__vicuna-33b-v1.3"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.74,62.12,83.0,59.22,56.16,77.03,13.72,31.92,,LlamaForCausalLM,torch.float16,?,32.32,230.0,True,ef8d6becf883fb3ce52e3706885f761819477ab4,lmsys/vicuna-33b-v1.3
🔶,"<a target=""_blank"" href=""https://huggingface.co/TheBloke/guanaco-65B-HF"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheBloke/guanaco-65B-HF</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheBloke__guanaco-65B-HF"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.68,65.44,86.47,62.92,52.81,82.4,26.0,6.69,fine-tuned,LlamaForCausalLM,torch.float16,other,65.02,26.0,True,7f83ae526f8b83705ca8434535da8fd8c692f9d0,TheBloke/guanaco-65B-HF
🔶,"<a target=""_blank"" href=""https://huggingface.co/Undi95/MLewd-v2.4-13B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Undi95/MLewd-v2.4-13B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Undi95__MLewd-v2.4-13B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.65,61.69,83.83,55.1,53.34,74.51,9.78,44.33,fine-tuned,LlamaForCausalLM,torch.float16,cc-by-nc-4.0,12.85,8.0,True,6f6ec6024ee054020e49fd96f149919692848f0b,Undi95/MLewd-v2.4-13B
🔶,"<a target=""_blank"" href=""https://huggingface.co/PocketDoc/Dans-AdventurousWinds-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">PocketDoc/Dans-AdventurousWinds-7b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_PocketDoc__Dans-AdventurousWinds-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.63,61.01,83.47,63.69,42.65,78.22,15.69,37.65,fine-tuned,MistralForCausalLM,torch.float16,?,7.24,7.0,True,ddc7e4fcbbb5c666a3fe1bbe4a47b4477151b699,PocketDoc/Dans-AdventurousWinds-7b
🟢,"<a target=""_blank"" href=""https://huggingface.co/huggyllama/llama-65b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">huggyllama/llama-65b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_huggyllama__llama-65b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.62,63.48,86.09,63.93,43.43,82.56,37.23,5.63,pretrained,LlamaForCausalLM,torch.float16,other,65.29,64.0,True,49707c5313d34d1c5a846e29cf2a2a650c22c8ee,huggyllama/llama-65b
?,"<a target=""_blank"" href=""https://huggingface.co/ehartford/samantha-1.1-llama-33b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ehartford/samantha-1.1-llama-33b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ehartford__samantha-1.1-llama-33b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.59,67.83,85.55,58.79,61.19,76.48,4.02,28.29,,LlamaForCausalLM,torch.float16,other,32.32,13.0,True,ad8892a17be1372f611203a4cf71560cc337e458,ehartford/samantha-1.1-llama-33b
🔶,"<a target=""_blank"" href=""https://huggingface.co/perlthoughts/Chupacabra-v3"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">perlthoughts/Chupacabra-v3</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_perlthoughts__Chupacabra-v3"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.58,66.21,81.29,59.36,57.85,77.43,15.01,24.93,fine-tuned,?,torch.float16,apache-2.0,7.24,0.0,False,1dfa5e16d4be646b496d657d86554482ad48b3c9,perlthoughts/Chupacabra-v3
🔶,"<a target=""_blank"" href=""https://huggingface.co/NeverSleep/Mistral-11B-SynthIAirOmniMix"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">NeverSleep/Mistral-11B-SynthIAirOmniMix</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_NeverSleep__Mistral-11B-SynthIAirOmniMix"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.56,62.46,83.13,63.47,55.69,76.4,11.9,28.88,fine-tuned,MistralForCausalLM,torch.bfloat16,cc-by-nc-4.0,10.73,0.0,True,19694dc88e74a018d54bac6070cf521dff6d4397,NeverSleep/Mistral-11B-SynthIAirOmniMix
⭕,"<a target=""_blank"" href=""https://huggingface.co/TFLai/Stable-Platypus2-13B-QLoRA-0.80-epoch"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TFLai/Stable-Platypus2-13B-QLoRA-0.80-epoch</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TFLai__Stable-Platypus2-13B-QLoRA-0.80-epoch"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.53,62.29,82.46,57.09,51.41,76.56,3.56,48.35,instruction-tuned,LlamaForCausalLM,torch.float16,llama2,13.02,0.0,True,0c15b8540335b3e21a976a5fc5c33b47927fea6c,TFLai/Stable-Platypus2-13B-QLoRA-0.80-epoch
🔶,"<a target=""_blank"" href=""https://huggingface.co/Open-Orca/Mistral-7B-OpenOrca"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Open-Orca/Mistral-7B-OpenOrca</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Open-Orca__Mistral-7B-OpenOrca"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.51,64.08,83.99,62.24,53.05,77.74,19.94,20.53,fine-tuned,MistralForCausalLM,torch.bfloat16,apache-2.0,7.11,314.0,True,7233ac83317946d05c474b71cc1379f49eb74c14,Open-Orca/Mistral-7B-OpenOrca
🔶,"<a target=""_blank"" href=""https://huggingface.co/uukuguy/speechless-llama2-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">uukuguy/speechless-llama2-13b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_uukuguy__speechless-llama2-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.47,62.03,81.82,58.69,55.66,76.01,33.97,13.12,fine-tuned,LlamaForCausalLM,torch.bfloat16,llama2,13.02,4.0,True,c6362c4fc0dc03420e3c08454b2e7689e4e32d3a,uukuguy/speechless-llama2-13b
🔶,"<a target=""_blank"" href=""https://huggingface.co/jondurbin/airoboros-65b-gpt4-2.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">jondurbin/airoboros-65b-gpt4-2.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_jondurbin__airoboros-65b-gpt4-2.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.46,66.64,86.66,63.18,49.11,80.74,20.85,14.05,fine-tuned,LlamaForCausalLM,torch.bfloat16,cc-by-nc-4.0,65.02,0.0,True,ea4bdd0221f77de9b0343cd8291cbd0fd6033ca8,jondurbin/airoboros-65b-gpt4-2.0
🔶,"<a target=""_blank"" href=""https://huggingface.co/Sao10K/Stheno-1.1-L2-13B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Sao10K/Stheno-1.1-L2-13B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Sao10K__Stheno-1.1-L2-13B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.43,60.75,83.64,56.39,50.3,75.22,7.96,46.78,fine-tuned,LlamaForCausalLM,torch.float16,llama2,12.85,0.0,True,0f45a9f834dd216ce25ffa606b3b1ef2c99e7acd,Sao10K/Stheno-1.1-L2-13B
⭕,"<a target=""_blank"" href=""https://huggingface.co/WizardLM/WizardMath-70B-V1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">WizardLM/WizardMath-70B-V1.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_WizardLM__WizardMath-70B-V1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.41,68.17,86.49,68.89,52.69,82.32,3.94,18.37,instruction-tuned,LlamaForCausalLM,torch.bfloat16,llama2,68.72,95.0,True,e85b43e53c5379e35393b970c66d76c2d1060381,WizardLM/WizardMath-70B-V1.0
🔶,"<a target=""_blank"" href=""https://huggingface.co/upstage/llama-30b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">upstage/llama-30b-instruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_upstage__llama-30b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.41,62.46,86.23,59.37,52.78,80.51,12.13,27.39,fine-tuned,LlamaForCausalLM,torch.float16,?,32.32,21.0,True,fea4312379557e8a1e8073965f560798de369edd,upstage/llama-30b-instruct
?,"<a target=""_blank"" href=""https://huggingface.co/ehartford/WizardLM-33B-V1.0-Uncensored"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ehartford/WizardLM-33B-V1.0-Uncensored</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ehartford__WizardLM-33B-V1.0-Uncensored"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.41,63.65,83.84,59.36,56.8,77.66,18.65,20.89,,LlamaForCausalLM,torch.float16,other,32.32,44.0,True,3eca9fdee0ce28d6a4a635a6f19d9a413caee3e7,ehartford/WizardLM-33B-V1.0-Uncensored
🔶,"<a target=""_blank"" href=""https://huggingface.co/jondurbin/airoboros-33b-gpt4-m2.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">jondurbin/airoboros-33b-gpt4-m2.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_jondurbin__airoboros-33b-gpt4-m2.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.4,63.14,85.19,57.28,48.07,78.45,9.7,38.94,fine-tuned,LlamaForCausalLM,torch.bfloat16,cc-by-nc-4.0,32.32,1.0,True,96af3dc6c9f2248d964cf14cef6e5f2e5894583a,jondurbin/airoboros-33b-gpt4-m2.0
?,"<a target=""_blank"" href=""https://huggingface.co/TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheBloke__Wizard-Vicuna-30B-Uncensored-GPTQ"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.39,61.09,82.4,56.46,49.9,77.66,23.28,29.96,,LlamaForCausalLM,torch.float16,other,35.58,380.0,True,56a82ece7a9309189561a590e8f4d2fe0d4be92b,TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ
🔶,"<a target=""_blank"" href=""https://huggingface.co/sauce1337/AppleSauce-L2-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">sauce1337/AppleSauce-L2-13b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_sauce1337__AppleSauce-L2-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.37,61.01,83.61,57.07,47.81,75.93,10.01,45.19,fine-tuned,LlamaForCausalLM,torch.float16,cc-by-nc-4.0,13.02,0.0,True,ba253c52eb85e24987c81e5d36b5a9a00e276ce7,sauce1337/AppleSauce-L2-13b
🔶,"<a target=""_blank"" href=""https://huggingface.co/JosephusCheung/Pwen-14B-Chat-20_30"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">JosephusCheung/Pwen-14B-Chat-20_30</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_JosephusCheung__Pwen-14B-Chat-20_30"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.35,56.14,79.78,60.01,47.02,76.48,26.99,33.99,fine-tuned,LlamaForCausalLM,torch.bfloat16,?,14.0,0.0,True,e878e1f1f7b533c32beb8e06ebcf0cfa23f3fe9b,JosephusCheung/Pwen-14B-Chat-20_30
⭕,"<a target=""_blank"" href=""https://huggingface.co/WizardLM/WizardMath-70B-V1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">WizardLM/WizardMath-70B-V1.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_WizardLM__WizardMath-70B-V1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.34,67.92,86.46,68.92,52.77,82.32,4.09,17.87,instruction-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,95.0,True,e85b43e53c5379e35393b970c66d76c2d1060381,WizardLM/WizardMath-70B-V1.0
⭕,"<a target=""_blank"" href=""https://huggingface.co/vihangd/smartyplats-7b-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">vihangd/smartyplats-7b-v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_vihangd__smartyplats-7b-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.32,57.94,80.76,58.16,50.26,75.53,38.82,18.75,instruction-tuned,MistralForCausalLM,torch.float16,apache-2.0,7.0,0.0,True,99049eb184b9b3ef074043d6e626fe3db09f5a19,vihangd/smartyplats-7b-v2
?,"<a target=""_blank"" href=""https://huggingface.co/CoruNethron/neu-sai-it1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CoruNethron/neu-sai-it1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_CoruNethron__neu-sai-it1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",54.29,61.26,81.39,60.17,51.49,77.51,2.88,45.31,,?,4bit,?,0.0,0.0,False,c78cd605142d20c62c78b2c7456fe61d49d990a6,CoruNethron/neu-sai-it1
