T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/model_101"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/model_101</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__model_101"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",66.55,68.69,86.42,69.92,58.85,82.08,44.81,55.1,fine-tuned,LlamaForCausalLM,torch.float16,?,68.72,0.0,True,884c53a64a3c5faf7b0706d36a587ca1532ed8f5,psmathur/model_101
🔶,"<a target=""_blank"" href=""https://huggingface.co/OpenBuddy/openbuddy-llama2-70b-v10.1-bf16"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">OpenBuddy/openbuddy-llama2-70b-v10.1-bf16</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_OpenBuddy__openbuddy-llama2-70b-v10.1-bf16"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",66.47,61.86,83.13,67.41,56.18,80.11,60.27,56.3,fine-tuned,LlamaForCausalLM,torch.bfloat16,?,68.76,41.0,True,a6ee90d262ac729f90ed8de97127766df070074c,OpenBuddy/openbuddy-llama2-70b-v10.1-bf16
⭕,"<a target=""_blank"" href=""https://huggingface.co/budecosystem/genz-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">budecosystem/genz-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_budecosystem__genz-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",66.34,71.42,87.99,70.78,62.66,83.5,33.74,54.28,instruction-tuned,LlamaForCausalLM,torch.float16,?,68.72,26.0,True,32110b4f33e5e80073ca1f47638482fdc0e19297,budecosystem/genz-70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/upstage/Llama-2-70b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">upstage/Llama-2-70b-instruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_upstage__Llama-2-70b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",66.1,70.9,87.48,69.8,60.97,82.87,32.22,58.42,fine-tuned,LlamaForCausalLM,torch.float16,?,68.72,53.0,True,8469429924dc2e1a9394b8095753985668a4052e,upstage/Llama-2-70b-instruct
⭕,"<a target=""_blank"" href=""https://huggingface.co/ehartford/Samantha-1.11-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ehartford/Samantha-1.11-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ehartford__Samantha-1.11-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.9,70.05,87.55,67.82,65.02,83.27,29.95,57.68,instruction-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,30.0,True,49e5b5ee0bed2864f0b38ba8bf9e01ccc5e0ba5f,ehartford/Samantha-1.11-70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ICBU-NPU/FashionGPT-70B-V1.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ICBU-NPU__FashionGPT-70B-V1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.88,71.76,88.2,70.99,65.26,82.64,41.47,40.81,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,38.0,True,05941a3eaacff0dead79b09d2175b5d7b98c525b,ICBU-NPU/FashionGPT-70B-V1.1
🔶,"<a target=""_blank"" href=""https://huggingface.co/migtissera/Tess-M-v1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">migtissera/Tess-M-v1.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_migtissera__Tess-M-v1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.82,67.15,84.76,74.5,54.8,82.87,54.66,42.02,fine-tuned,LlamaForCausalLM,torch.float16,other,34.39,0.0,True,e5a016b08aa507fe9db45436074016928bf6f939,migtissera/Tess-M-v1.1
⭕,"<a target=""_blank"" href=""https://huggingface.co/chargoddard/MelangeB-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">chargoddard/MelangeB-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_chargoddard__MelangeB-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.8,71.67,87.5,70.03,59.36,83.5,30.63,57.92,instruction-tuned,LlamaForCausalLM,torch.float16,?,68.98,0.0,True,08239fb1e30b1e42b14370f23e942bc51e76027c,chargoddard/MelangeB-70b
⭕,"<a target=""_blank"" href=""https://huggingface.co/ehartford/Samantha-1.1-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ehartford/Samantha-1.1-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ehartford__Samantha-1.1-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.74,68.77,87.46,68.6,64.85,83.27,31.61,55.59,instruction-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,4.0,True,a3819d186f5b4d52ced7ddeb7fa16bf66e8a2ea7,ehartford/Samantha-1.1-70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/AIDC-ai-business/Marcoroni-70B-v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">AIDC-ai-business/Marcoroni-70B-v1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_AIDC-ai-business__Marcoroni-70B-v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.52,73.55,87.62,70.67,64.41,83.43,33.28,45.65,fine-tuned,LlamaForCausalLM,torch.bfloat16,cc-by-nc-4.0,68.72,16.0,True,55a30d29db194832c0b5de1392a6598a63582144,AIDC-ai-business/Marcoroni-70B-v1
