T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Type,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
⭕,"<a target=""_blank"" href=""https://huggingface.co/ehartford/Samantha-1.1-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ehartford/Samantha-1.1-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ehartford__Samantha-1.1-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.42,68.77,87.46,68.6,64.85,instruction-tuned,torch.float16,llama2,68.72,4,True,a3819d186f5b4d52ced7ddeb7fa16bf66e8a2ea7,ehartford/Samantha-1.1-70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/model_009"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/model_009</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__model_009"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.36,71.59,87.7,69.43,60.72,fine-tuned,torch.float16,llama2,68.72,0,True,5020869e6394b1ac039bf80a0a1d2bed6be6707e,psmathur/model_009
🔶,"<a target=""_blank"" href=""https://huggingface.co/upstage/Llama-2-70b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">upstage/Llama-2-70b-instruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_upstage__Llama-2-70b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.29,70.9,87.48,69.8,60.97,fine-tuned,torch.float16,?,68.72,49,True,8469429924dc2e1a9394b8095753985668a4052e,upstage/Llama-2-70b-instruct
🔶,"<a target=""_blank"" href=""https://huggingface.co/yeontaek/llama-2-70B-ensemble-v7"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">yeontaek/llama-2-70B-ensemble-v7</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_yeontaek__llama-2-70B-ensemble-v7"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.27,70.31,87.31,68.34,63.1,fine-tuned,torch.float16,?,68.72,0,False,38f0f101ba06039bdc9677c686d9502ba942362a,yeontaek/llama-2-70B-ensemble-v7
🔶,"<a target=""_blank"" href=""https://huggingface.co/Sao10K/Euryale-1.3-L2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Sao10K/Euryale-1.3-L2-70B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Sao10K__Euryale-1.3-L2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.24,70.82,87.92,70.39,59.85,fine-tuned,torch.float16,llama2,68.72,4,True,6e3ce78eb5346bf3a5ee88cd60c25dc0d73de639,Sao10K/Euryale-1.3-L2-70B
🔶,"<a target=""_blank"" href=""https://huggingface.co/yeontaek/llama-2-70B-ensemble-v6"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">yeontaek/llama-2-70B-ensemble-v6</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_yeontaek__llama-2-70B-ensemble-v6"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.17,70.99,87.2,68.07,62.43,fine-tuned,torch.float16,?,68.72,0,False,2edcbe2de75f565c5ed0f8055fbd13aa09e8bef6,yeontaek/llama-2-70B-ensemble-v6
⭕,"<a target=""_blank"" href=""https://huggingface.co/chargoddard/MelangeB-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">chargoddard/MelangeB-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_chargoddard__MelangeB-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.14,71.67,87.5,70.03,59.36,instruction-tuned,torch.float16,?,68.98,0,True,08239fb1e30b1e42b14370f23e942bc51e76027c,chargoddard/MelangeB-70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/lizpreciatior/lzlv_70b_fp16_hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">lizpreciatior/lzlv_70b_fp16_hf</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_lizpreciatior__lzlv_70b_fp16_hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.1,70.14,87.54,70.23,60.49,fine-tuned,torch.float16,cc-by-nc-2.0,68.98,6,True,b366c0bb318ae592023cca894cc6b4421a607a0d,lizpreciatior/lzlv_70b_fp16_hf
🔶,"<a target=""_blank"" href=""https://huggingface.co/yeontaek/llama-2-70B-ensemble-v3"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">yeontaek/llama-2-70B-ensemble-v3</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_yeontaek__llama-2-70B-ensemble-v3"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.01,68.52,87.16,68.15,64.22,fine-tuned,torch.float16,?,68.72,0,False,4fff2168beb2f7d4ec18320138f0ef0209bb0c40,yeontaek/llama-2-70B-ensemble-v3
⭕,"<a target=""_blank"" href=""https://huggingface.co/chargoddard/MelangeC-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">chargoddard/MelangeC-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_chargoddard__MelangeC-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",71.94,71.67,87.6,70.37,58.13,instruction-tuned,torch.float16,?,68.98,0,True,e54a2b924dec135f3fa2373933ab8485178cde1b,chargoddard/MelangeC-70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/lloorree/kssht-dahj-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">lloorree/kssht-dahj-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_lloorree__kssht-dahj-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",71.87,70.82,87.3,70.43,58.92,fine-tuned,torch.float16,cc-by-nc-4.0,70.0,0,False,85901aab2c3faf09de5ba8e9d65ec03aee4b20e4,lloorree/kssht-dahj-70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/Xwin-LM/Xwin-LM-70B-V0.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Xwin-LM/Xwin-LM-70B-V0.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Xwin-LM__Xwin-LM-70B-V0.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",71.78,70.22,87.25,69.77,59.86,fine-tuned,torch.float16,llama2,68.72,155,True,d6c803a180e3d46c371f8d3cb3848b861596ccbc,Xwin-LM/Xwin-LM-70B-V0.1
⭕,"<a target=""_blank"" href=""https://huggingface.co/jondurbin/airoboros-l2-70b-2.2.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">jondurbin/airoboros-l2-70b-2.2.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_jondurbin__airoboros-l2-70b-2.2.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",71.73,69.71,87.95,69.79,59.49,instruction-tuned,torch.bfloat16,llama2,68.72,6,True,eadc78a4a9e173bccdca7dc8d12a34e80317c66c,jondurbin/airoboros-l2-70b-2.2.1
🔶,"<a target=""_blank"" href=""https://huggingface.co/garage-bAInd/Camel-Platypus2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">garage-bAInd/Camel-Platypus2-70B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_garage-bAInd__Camel-Platypus2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",71.7,71.08,87.6,70.04,58.09,fine-tuned,torch.float16,cc-by-nc-4.0,68.72,9,True,b9f8de09ab860ee8ba570db7227c5444020ea056,garage-bAInd/Camel-Platypus2-70B
🔶,"<a target=""_blank"" href=""https://huggingface.co/yeontaek/llama-2-70B-ensemble-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">yeontaek/llama-2-70B-ensemble-v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_yeontaek__llama-2-70B-ensemble-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",71.67,68.77,85.36,68.04,64.51,fine-tuned,torch.float16,?,68.72,0,False,7ee1ce68410f18e2bff12925fcc8354f4a7410cd,yeontaek/llama-2-70B-ensemble-v2
