T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Type,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
🔶,"<a target=""_blank"" href=""https://huggingface.co/ValiantLabs/ShiningValiant"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ValiantLabs/ShiningValiant</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ValiantLabs__ShiningValiant"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",74.17,72.95,87.88,70.97,64.88,fine-tuned,torch.float16,llama2,69.24,2,True,7c4401cddc462c5f35d8984c90e293faee37bf8e,ValiantLabs/ShiningValiant
🔶,"<a target=""_blank"" href=""https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ICBU-NPU/FashionGPT-70B-V1.2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ICBU-NPU__FashionGPT-70B-V1.2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",74.11,73.04,88.15,70.11,65.15,fine-tuned,torch.float16,llama2,68.72,1,True,990a1664fc058de6ee2406af62c0a817d7047304,ICBU-NPU/FashionGPT-70B-V1.2
🔶,"<a target=""_blank"" href=""https://huggingface.co/sequelbox/StellarBright"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">sequelbox/StellarBright</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_sequelbox__StellarBright"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",74.1,72.95,87.82,71.17,64.46,fine-tuned,torch.float16,llama2,69.24,2,True,43efad8bfdb47139934e810906c1e59c25b5e269,sequelbox/StellarBright
🔶,"<a target=""_blank"" href=""https://huggingface.co/Riiid/sheep-duck-llama-2-70b-v1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Riiid/sheep-duck-llama-2-70b-v1.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Riiid__sheep-duck-llama-2-70b-v1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",74.07,73.04,87.81,70.84,64.58,fine-tuned,torch.float16,llama2,68.72,8,True,a8fc5c02c995733af6339ec882bef4ed93db1e8f,Riiid/sheep-duck-llama-2-70b-v1.1
🔶,"<a target=""_blank"" href=""https://huggingface.co/AIDC-ai-business/Marcoroni-70B-v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">AIDC-ai-business/Marcoroni-70B-v1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_AIDC-ai-business__Marcoroni-70B-v1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",74.06,73.55,87.62,70.67,64.41,fine-tuned,torch.bfloat16,cc-by-nc-4.0,68.72,16,True,55a30d29db194832c0b5de1392a6598a63582144,AIDC-ai-business/Marcoroni-70B-v1
🔶,"<a target=""_blank"" href=""https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ICBU-NPU/FashionGPT-70B-V1.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ICBU-NPU__FashionGPT-70B-V1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",74.05,71.76,88.2,70.99,65.26,fine-tuned,torch.float16,llama2,68.72,36,True,05941a3eaacff0dead79b09d2175b5d7b98c525b,ICBU-NPU/FashionGPT-70B-V1.1
🔶,"<a target=""_blank"" href=""https://huggingface.co/adonlee/LLaMA_2_70B_LoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">adonlee/LLaMA_2_70B_LoRA</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_adonlee__LLaMA_2_70B_LoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.9,72.7,87.55,70.84,64.52,fine-tuned,torch.float16,?,70.0,0,False,1af5aae768a840a3c1aae87d0ea8e6e5a6dc5628,adonlee/LLaMA_2_70B_LoRA
🔶,"<a target=""_blank"" href=""https://huggingface.co/uni-tianyan/Uni-TianYan"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">uni-tianyan/Uni-TianYan</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_uni-tianyan__Uni-TianYan"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.81,72.1,87.4,69.91,65.81,fine-tuned,torch.float16,llama2,68.72,34,True,46b78b9a10e78283e59c28b56cb59c2f33b0816a,uni-tianyan/Uni-TianYan
🔶,"<a target=""_blank"" href=""https://huggingface.co/Riiid/sheep-duck-llama-2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Riiid/sheep-duck-llama-2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Riiid__sheep-duck-llama-2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.69,72.35,87.78,70.82,63.8,fine-tuned,torch.float16,llama2,68.72,14,True,e196dd0fe1d604c4975d972b177b09e4f1572cd5,Riiid/sheep-duck-llama-2
🔶,"<a target=""_blank"" href=""https://huggingface.co/Riiid/sheep-duck-llama-2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Riiid/sheep-duck-llama-2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Riiid__sheep-duck-llama-2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.67,72.27,87.78,70.81,63.8,fine-tuned,torch.bfloat16,llama2,68.72,14,True,e196dd0fe1d604c4975d972b177b09e4f1572cd5,Riiid/sheep-duck-llama-2
🔶,"<a target=""_blank"" href=""https://huggingface.co/fangloveskari/ORCA_LLaMA_70B_QLoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">fangloveskari/ORCA_LLaMA_70B_QLoRA</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_fangloveskari__ORCA_LLaMA_70B_QLoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.4,72.27,87.74,70.23,63.37,fine-tuned,torch.float16,llama2,68.72,37,True,ef9b04ef02ccc4d96f1181467da92bb6b5baf835,fangloveskari/ORCA_LLaMA_70B_QLoRA
🔶,"<a target=""_blank"" href=""https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ICBU-NPU/FashionGPT-70B-V1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ICBU-NPU__FashionGPT-70B-V1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.26,71.08,87.32,70.7,63.92,fine-tuned,torch.float16,llama2,68.72,4,True,060c096af49700760f734c0102250a524d46b3eb,ICBU-NPU/FashionGPT-70B-V1
🔶,"<a target=""_blank"" href=""https://huggingface.co/oh-yeontaek/llama-2-70B-LoRA-assemble-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">oh-yeontaek/llama-2-70B-LoRA-assemble-v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_oh-yeontaek__llama-2-70B-LoRA-assemble-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.22,71.84,86.89,69.37,64.79,fine-tuned,torch.float16,?,68.72,2,True,7feeb5b665ab1ecdfd9cc4fe45fadb86b7b91b5b,oh-yeontaek/llama-2-70B-LoRA-assemble-v2
⭕,"<a target=""_blank"" href=""https://huggingface.co/budecosystem/genz-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">budecosystem/genz-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_budecosystem__genz-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.21,71.42,87.99,70.78,62.66,instruction-tuned,torch.float16,?,68.72,13,True,32110b4f33e5e80073ca1f47638482fdc0e19297,budecosystem/genz-70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/oh-yeontaek/llama-2-70B-LoRA-assemble"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">oh-yeontaek/llama-2-70B-LoRA-assemble</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_oh-yeontaek__llama-2-70B-LoRA-assemble"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.2,71.84,86.78,69.4,64.8,fine-tuned,torch.float16,?,68.72,0,False,91caffe08852dcbbdedd64786bd3b4ac0dcb2e96,oh-yeontaek/llama-2-70B-LoRA-assemble
🔶,"<a target=""_blank"" href=""https://huggingface.co/garage-bAInd/Platypus2-70B-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">garage-bAInd/Platypus2-70B-instruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_garage-bAInd__Platypus2-70B-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",73.13,71.84,87.94,70.48,62.26,fine-tuned,torch.float16,cc-by-nc-4.0,68.72,139,True,a66378c15f89756215ccc64572ba69b161173703,garage-bAInd/Platypus2-70B-instruct
⭕,"<a target=""_blank"" href=""https://huggingface.co/upstage/SOLAR-0-70b-16bit"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">upstage/SOLAR-0-70b-16bit</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_upstage__SOLAR-0-70b-16bit"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.95,71.08,87.89,70.58,62.25,instruction-tuned,torch.float16,?,68.72,211,True,5f9c77b2c0397cf83d2f97740483f107c7109e8c,upstage/SOLAR-0-70b-16bit
🔶,"<a target=""_blank"" href=""https://huggingface.co/fangloveskari/Platypus_QLoRA_LLaMA_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">fangloveskari/Platypus_QLoRA_LLaMA_70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_fangloveskari__Platypus_QLoRA_LLaMA_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.94,72.1,87.46,71.02,61.18,fine-tuned,torch.float16,llama2,68.72,2,True,b9b8560832276f60ba6bf37ac913b230a85ac19b,fangloveskari/Platypus_QLoRA_LLaMA_70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/yeontaek/llama-2-70B-ensemble-v5"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">yeontaek/llama-2-70B-ensemble-v5</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_yeontaek__llama-2-70B-ensemble-v5"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.86,71.16,87.24,69.6,63.45,fine-tuned,torch.float16,?,68.72,0,False,cf4292aae32e62d27baf59b0d3db1be38f817631,yeontaek/llama-2-70B-ensemble-v5
⭕,"<a target=""_blank"" href=""https://huggingface.co/TheBloke/Genz-70b-GPTQ"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheBloke/Genz-70b-GPTQ</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheBloke__Genz-70b-GPTQ"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.82,71.08,87.64,70.26,62.28,instruction-tuned,torch.float16,llama2,9.7,22,True,7d38987a43d2445b193db99a029a264b39dc6c8e,TheBloke/Genz-70b-GPTQ
🔶,"<a target=""_blank"" href=""https://huggingface.co/TheBloke/Platypus2-70B-Instruct-GPTQ"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheBloke/Platypus2-70B-Instruct-GPTQ</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheBloke__Platypus2-70B-Instruct-GPTQ"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.81,71.25,87.55,69.89,62.54,fine-tuned,None,llama2,9.1,15,True,4a44568aadd8a4babfa5549cf33e6e84cbae7ab8,TheBloke/Platypus2-70B-Instruct-GPTQ
⭕,"<a target=""_blank"" href=""https://huggingface.co/pankajmathur/model_007"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">pankajmathur/model_007</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_pankajmathur__model_007"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.72,71.08,87.65,69.04,63.12,instruction-tuned,torch.float16,llama2,68.72,19,True,213eef7449fa23f447a4efdd0bb15eb7c865682a,pankajmathur/model_007
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/model_007"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/model_007</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__model_007"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.72,71.08,87.65,69.04,63.12,fine-tuned,torch.float16,llama2,68.72,18,True,0f5d81b13718a866cb078bd8762ab80a41972663,psmathur/model_007
🔶,"<a target=""_blank"" href=""https://huggingface.co/yeontaek/llama-2-70B-ensemble-v4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">yeontaek/llama-2-70B-ensemble-v4</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_yeontaek__llama-2-70B-ensemble-v4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.64,70.9,87.34,69.71,62.6,fine-tuned,torch.float16,?,68.72,0,False,fed7f766c2977bb13ba372ba63c1bb9f8af263d8,yeontaek/llama-2-70B-ensemble-v4
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/orca_mini_v3_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/orca_mini_v3_70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__orca_mini_v3_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.64,71.25,87.85,70.18,61.27,fine-tuned,torch.float16,other,68.72,12,True,c1d4f997f8ed685a6efc72229523b2e56fd0774b,psmathur/orca_mini_v3_70b
⭕,"<a target=""_blank"" href=""https://huggingface.co/pankajmathur/orca_mini_v3_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">pankajmathur/orca_mini_v3_70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_pankajmathur__orca_mini_v3_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.64,71.25,87.85,70.18,61.27,instruction-tuned,torch.float16,other,68.72,16,True,5267da97e68c193685758cef56573da7797d5295,pankajmathur/orca_mini_v3_70b
⭕,"<a target=""_blank"" href=""https://huggingface.co/ehartford/Samantha-1.11-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ehartford/Samantha-1.11-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ehartford__Samantha-1.11-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.61,70.05,87.55,67.82,65.02,instruction-tuned,torch.float16,llama2,68.72,20,True,49e5b5ee0bed2864f0b38ba8bf9e01ccc5e0ba5f,ehartford/Samantha-1.11-70b
⭕,"<a target=""_blank"" href=""https://huggingface.co/MayaPH/GodziLLa2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">MayaPH/GodziLLa2-70B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_MayaPH__GodziLLa2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.59,71.42,87.53,69.88,61.54,instruction-tuned,torch.float16,llama2,68.98,16,True,7b78087db07eec97f7b461d10758ece76d685543,MayaPH/GodziLLa2-70B
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/model_007_v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/model_007_v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__model_007_v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.49,71.42,87.31,68.58,62.65,fine-tuned,torch.float16,llama2,68.72,1,True,3d95e0f3598f7a76ab97cb2cc0e4aae957d77479,psmathur/model_007_v2
⭕,"<a target=""_blank"" href=""https://huggingface.co/chargoddard/MelangeA-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">chargoddard/MelangeA-70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_chargoddard__MelangeA-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",72.43,71.25,87.3,70.56,60.61,instruction-tuned,torch.float16,?,68.98,0,True,d48cf79d1ead50154b1e70120779ae91bc5fafb4,chargoddard/MelangeA-70b
